account,type,score,submittedAt
Everest Media,csat,3,2026-02-12
Everest Media,csat,2,2026-02-12
Everest Media,csat,4,2026-02-12
Everest Media,csat,1,2026-02-12
Everest Media,csat,2,2026-02-12
Everest Media,csat,3,2026-02-12
Everest Media,csat,1,2026-02-12
Everest Media,csat,1,2026-03-12
Everest Media,csat,3,2026-03-12
Everest Media,csat,2,2026-03-12
Everest Media,csat,4,2026-03-12
Everest Media,csat,1,2026-03-12
Everest Media,csat,2,2026-03-12
Everest Media,csat,1,2026-04-12
Everest Media,csat,1,2026-04-12
Everest Media,csat,3,2026-04-12
Everest Media,csat,2,2026-04-12
Everest Media,csat,4,2026-04-12
Everest Media,csat,1,2026-04-12
Everest Media,csat,2,2026-04-12
Everest Media,csat,3,2026-04-12
Everest Media,csat,1,2026-04-12
Everest Media,csat,3,2026-05-12
Everest Media,csat,1,2026-05-12
Everest Media,csat,1,2026-05-12
Everest Media,csat,3,2026-05-12
Everest Media,csat,2,2026-05-12
Everest Media,csat,4,2026-05-12
Everest Media,csat,1,2026-05-12
Everest Media,csat,2,2026-05-12
Everest Media,csat,2,2026-06-12
Everest Media,csat,3,2026-06-12
Everest Media,csat,1,2026-06-12
Everest Media,csat,1,2026-06-12
Everest Media,csat,3,2026-06-12
Everest Media,csat,2,2026-06-12
Everest Media,csat,4,2026-06-12
Everest Media,csat,1,2026-07-12
Everest Media,csat,2,2026-07-12
Everest Media,csat,3,2026-07-12
Everest Media,csat,1,2026-07-12
Everest Media,csat,1,2026-07-12
Everest Media,csat,3,2026-07-12
Everest Media,nps,4,2026-04-12
Everest Media,nps,0,2026-04-12
Everest Media,nps,3,2026-04-12
Everest Media,nps,6,2026-04-12
Everest Media,nps,2,2026-04-12
Everest Media,nps,5,2026-07-12
Everest Media,nps,4,2026-07-12
Everest Media,nps,0,2026-07-12
Everest Media,nps,3,2026-07-12
Everest Media,nps,6,2026-07-12
Mogu Mogu,csat,5,2026-02-12
Mogu Mogu,csat,4,2026-02-12
Mogu Mogu,csat,5,2026-02-12
Mogu Mogu,csat,3,2026-02-12
Mogu Mogu,csat,5,2026-02-12
Mogu Mogu,csat,4,2026-02-12
Mogu Mogu,csat,5,2026-02-12
Mogu Mogu,csat,4,2026-02-12
Mogu Mogu,csat,4,2026-03-12
Mogu Mogu,csat,5,2026-03-12
Mogu Mogu,csat,4,2026-03-12
Mogu Mogu,csat,5,2026-03-12
Mogu Mogu,csat,3,2026-03-12
Mogu Mogu,csat,5,2026-03-12
Mogu Mogu,csat,4,2026-03-12
Mogu Mogu,csat,5,2026-04-12
Mogu Mogu,csat,4,2026-04-12
Mogu Mogu,csat,5,2026-04-12
Mogu Mogu,csat,4,2026-04-12
Mogu Mogu,csat,5,2026-04-12
Mogu Mogu,csat,3,2026-04-12
Mogu Mogu,csat,4,2026-05-12
Mogu Mogu,csat,5,2026-05-12
Mogu Mogu,csat,4,2026-05-12
Mogu Mogu,csat,5,2026-05-12
Mogu Mogu,csat,4,2026-05-12
Mogu Mogu,csat,5,2026-05-12
Mogu Mogu,csat,3,2026-05-12
Mogu Mogu,csat,5,2026-05-12
Mogu Mogu,csat,4,2026-05-12
Mogu Mogu,csat,5,2026-06-12
Mogu Mogu,csat,4,2026-06-12
Mogu Mogu,csat,5,2026-06-12
Mogu Mogu,csat,4,2026-06-12
Mogu Mogu,csat,5,2026-06-12
Mogu Mogu,csat,4,2026-06-12
Mogu Mogu,csat,5,2026-06-12
Mogu Mogu,csat,3,2026-06-12
Mogu Mogu,csat,3,2026-07-12
Mogu Mogu,csat,5,2026-07-12
Mogu Mogu,csat,4,2026-07-12
Mogu Mogu,csat,5,2026-07-12
Mogu Mogu,csat,4,2026-07-12
Mogu Mogu,csat,5,2026-07-12
Mogu Mogu,csat,4,2026-07-12
Mogu Mogu,nps,10,2026-04-12
Mogu Mogu,nps,9,2026-04-12
Mogu Mogu,nps,8,2026-04-12
Mogu Mogu,nps,10,2026-04-12
Mogu Mogu,nps,9,2026-04-12
Mogu Mogu,nps,7,2026-07-12
Mogu Mogu,nps,10,2026-07-12
Mogu Mogu,nps,9,2026-07-12
Mogu Mogu,nps,8,2026-07-12
Mogu Mogu,nps,10,2026-07-12
Chemistry,csat,4,2026-02-12
Chemistry,csat,1,2026-02-12
Chemistry,csat,2,2026-02-12
Chemistry,csat,3,2026-02-12
Chemistry,csat,1,2026-02-12
Chemistry,csat,1,2026-02-12
Chemistry,csat,3,2026-02-12
Chemistry,csat,2,2026-02-12
Chemistry,csat,4,2026-02-12
Chemistry,csat,2,2026-03-12
Chemistry,csat,4,2026-03-12
Chemistry,csat,1,2026-03-12
Chemistry,csat,2,2026-03-12
Chemistry,csat,3,2026-03-12
Chemistry,csat,1,2026-03-12
Chemistry,csat,1,2026-03-12
Chemistry,csat,3,2026-03-12
Chemistry,csat,3,2026-04-12
Chemistry,csat,2,2026-04-12
Chemistry,csat,4,2026-04-12
Chemistry,csat,1,2026-04-12
Chemistry,csat,2,2026-04-12
Chemistry,csat,3,2026-04-12
Chemistry,csat,1,2026-04-12
Chemistry,csat,1,2026-05-12
Chemistry,csat,3,2026-05-12
Chemistry,csat,2,2026-05-12
Chemistry,csat,4,2026-05-12
Chemistry,csat,1,2026-05-12
Chemistry,csat,2,2026-05-12
Chemistry,csat,1,2026-06-12
Chemistry,csat,1,2026-06-12
Chemistry,csat,3,2026-06-12
Chemistry,csat,2,2026-06-12
Chemistry,csat,4,2026-06-12
Chemistry,csat,1,2026-06-12
Chemistry,csat,2,2026-06-12
Chemistry,csat,3,2026-06-12
Chemistry,csat,1,2026-06-12
Chemistry,csat,3,2026-07-12
Chemistry,csat,1,2026-07-12
Chemistry,csat,1,2026-07-12
Chemistry,csat,3,2026-07-12
Chemistry,csat,2,2026-07-12
Chemistry,csat,4,2026-07-12
Chemistry,csat,1,2026-07-12
Chemistry,csat,2,2026-07-12
Chemistry,nps,3,2026-04-12
Chemistry,nps,6,2026-04-12
Chemistry,nps,2,2026-04-12
Chemistry,nps,5,2026-04-12
Chemistry,nps,4,2026-04-12
Chemistry,nps,0,2026-07-12
Chemistry,nps,3,2026-07-12
Chemistry,nps,6,2026-07-12
Chemistry,nps,2,2026-07-12
Chemistry,nps,5,2026-07-12
Inkspired,csat,3,2026-02-12
Inkspired,csat,1,2026-02-12
Inkspired,csat,4,2026-02-12
Inkspired,csat,5,2026-02-12
Inkspired,csat,3,2026-02-12
Inkspired,csat,4,2026-02-12
Inkspired,csat,5,2026-03-12
Inkspired,csat,3,2026-03-12
Inkspired,csat,1,2026-03-12
Inkspired,csat,4,2026-03-12
Inkspired,csat,5,2026-03-12
Inkspired,csat,3,2026-03-12
Inkspired,csat,4,2026-03-12
Inkspired,csat,2,2026-03-12
Inkspired,csat,5,2026-03-12
Inkspired,csat,2,2026-04-12
Inkspired,csat,5,2026-04-12
Inkspired,csat,3,2026-04-12
Inkspired,csat,1,2026-04-12
Inkspired,csat,4,2026-04-12
Inkspired,csat,5,2026-04-12
Inkspired,csat,3,2026-04-12
Inkspired,csat,4,2026-04-12
Inkspired,csat,4,2026-05-12
Inkspired,csat,2,2026-05-12
Inkspired,csat,5,2026-05-12
Inkspired,csat,3,2026-05-12
Inkspired,csat,1,2026-05-12
Inkspired,csat,4,2026-05-12
Inkspired,csat,5,2026-05-12
Inkspired,csat,3,2026-06-12
Inkspired,csat,4,2026-06-12
Inkspired,csat,2,2026-06-12
Inkspired,csat,5,2026-06-12
Inkspired,csat,3,2026-06-12
Inkspired,csat,1,2026-06-12
Inkspired,csat,5,2026-07-12
Inkspired,csat,3,2026-07-12
Inkspired,csat,4,2026-07-12
Inkspired,csat,2,2026-07-12
Inkspired,csat,5,2026-07-12
Inkspired,csat,3,2026-07-12
Inkspired,csat,1,2026-07-12
Inkspired,csat,4,2026-07-12
Inkspired,csat,5,2026-07-12
Inkspired,nps,6,2026-04-12
Inkspired,nps,8,2026-04-12
Inkspired,nps,10,2026-04-12
Inkspired,nps,3,2026-04-12
Inkspired,nps,9,2026-04-12
Inkspired,nps,7,2026-07-12
Inkspired,nps,6,2026-07-12
Inkspired,nps,8,2026-07-12
