agency,account,type,responses,escalations,rcas,actions
Demo Agency,Aurora Foods,demo,53,1,2,2
Demo Agency,Borealis Bank,demo,55,2,3,3
Demo Agency,Cirrus Tech,demo,57,1,2,2
Demo Agency,Delta Retail,demo,55,2,3,3
Demo Agency,Everest Media,demo,53,1,2,2
The Starter Labs,AJ,real,0,0,0,0
The Starter Labs,Alka Seltzer,real,0,0,0,0
The Starter Labs,Anemos,real,57,1,2,2
The Starter Labs,BuildWell,real,53,1,2,2
The Starter Labs,Chemistry,real,57,1,2,2
The Starter Labs,EPCH,real,0,0,0,0
The Starter Labs,HyKr Venture Studio,real,0,0,0,0
The Starter Labs,Inkspired,real,55,2,3,3
The Starter Labs,Mogu Mogu,real,55,2,3,3
The Starter Labs,Ryan,real,0,0,0,0
The Starter Labs,SOA,real,53,1,2,2
The Starter Labs,Spunge,real,0,0,0,0
The Starter Labs,Standard Chartered,real,0,0,0,0
The Starter Labs,Sunteck,real,0,0,0,0
The Starter Labs,The Croffle Guys,real,55,2,3,3
The Starter Labs,WhiteOak,real,55,2,3,3
